Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Python38, async_tree, 10,763.686889648437500000, 609.037475585937500000,  ,  , 76643, 49.8, 103064
Python38, async_tree, 10,765.343017578125000000, 610.470520019531250000,  ,  , 76814, 46.2, 102728
Python38, async_tree, 10,765.072937011718750000, 609.961059570312500000,  ,  , 76808, 50.0, 103144
Python38, async_tree, 10,764.211914062500000000, 609.343139648437500000,  ,  , 76696, 47.8, 103104
Python38, async_tree, 10,763.440856933593750000, 608.665283203125000000,  ,  , 76629, 49.8, 102880
Python310, async_tree, 10,741.939025878906250000, 590.873962402343750000,  ,  , 74474, 49.2, 104332
Python310, async_tree, 10,743.728332519531250000, 592.769104003906250000,  ,  , 74639, 46.8, 104240
Python310, async_tree, 10,742.890563964843750000, 591.657104492187500000,  ,  , 74567, 48.8, 104348
Python310, async_tree, 10,745.084655761718750000, 593.429687500000000000,  ,  , 74796, 46.2, 104236
Python310, async_tree, 10,747.098022460937500000, 594.992309570312500000,  ,  , 74987, 46.5, 104308
Python310, async_tree, 10,745.007934570312500000, 593.528076171875000000,  ,  , 74772, 46.2, 104324
Python310, async_tree, 10,742.973449707031250000, 591.800659179687500000,  ,  , 74574, 47.2, 104208
Python310, async_tree, 10,743.043579101562500000, 591.794616699218750000,  ,  , 74573, 46.2, 104668
Python310, async_tree, 10,742.922485351562500000, 592.060546875000000000,  ,  , 74568, 46.8, 105716
Python310, async_tree, 10,742.941406250000000000, 591.714660644531250000,  ,  , 74565, 47.5, 104868
Python311, async_tree, 10,573.546997070312500000, 456.242187500000000000,  ,  , 57563, 46.5, 89652
Python311, async_tree, 10,574.871398925781250000, 457.593566894531250000,  ,  , 57700, 46.8, 89504
Python311, async_tree, 10,573.159179687500000000, 455.869323730468750000,  ,  , 57522, 46.0, 89600
Python311, async_tree, 10,572.687561035156250000, 455.512023925781250000,  ,  , 57482, 46.2, 89536
Python311, async_tree, 10,574.445190429687500000, 456.988342285156250000,  ,  , 57650, 47.5, 89396
Python311, async_tree, 10,574.510803222656250000, 457.040710449218750000,  ,  , 57677, 47.0, 89504
Python311, async_tree, 10,572.276184082031250000, 455.120971679687500000,  ,  , 57453, 47.2, 88748
Python311, async_tree, 10,573.208312988281250000, 456.230041503906250000,  ,  , 57550, 46.2, 89592
Python311, async_tree, 10,573.550598144531250000, 456.213684082031250000,  ,  , 57586, 46.8, 89536
Python311, async_tree, 10,574.378845214843750000, 456.847595214843750000,  ,  , 57663, 47.0, 89592
Python38, asyncio_tcp, 10,830.282836914062500000, 636.718200683593750000,  ,  , 83326, 47.2, 63032
Python38, asyncio_tcp, 10,831.827392578125000000, 637.833374023437500000,  ,  , 83497, 47.2, 63200
Python38, asyncio_tcp, 10,824.601684570312500000, 632.161865234375000000,  ,  , 82770, 46.8, 62968
Python38, asyncio_tcp, 10,836.324584960937500000, 641.507995605468750000,  ,  , 83937, 47.2, 62884
Python38, asyncio_tcp, 10,835.627502441406250000, 641.103881835937500000,  ,  , 83875, 47.0, 63120
Python38, asyncio_tcp, 10,835.145385742187500000, 640.735107421875000000,  ,  , 83837, 46.5, 62892
Python38, asyncio_tcp, 10,837.982055664062500000, 642.939025878906250000,  ,  , 84106, 47.0, 62824
Python38, asyncio_tcp, 10,835.250610351562500000, 640.736938476562500000,  ,  , 83828, 47.8, 62708
Python38, asyncio_tcp, 10,832.301635742187500000, 638.508422851562500000,  ,  , 83543, 47.0, 62764
Python38, asyncio_tcp, 10,840.643676757812500000, 645.095458984375000000,  ,  , 84381, 49.8, 62840
Python310, asyncio_tcp, 10,820.939514160156250000, 629.002563476562500000,  ,  , 82394, 46.2, 64308
