test,PKG,CPU,time
bubblesort_ll2,0.01776123,0.016845703,3.458
bubblesort_ll2,0.022521973,0.018554688,3.537
bubblesort_ll2,0.018005371,0.01739502,3.537
bubblesort_ll2,0.023681641,0.018737793,3.524
bubblesort_ll2,0.017700195,0.017822266,3.64
bubblesort_ll2,0.022460938,0.017822266,3.484
bubblesort_ll2,0.018615723,0.018310547,3.584
bubblesort_ll2,0.024169922,0.019348145,3.596
bubblesort_ll2,0.02331543,0.01763916,3.621
bubblesort_ll2,0.017150879,0.017211914,3.559
bubblesort_ll2,0.023864746,0.018371582,3.68
bubblesort_ll2,0.018310547,0.017883301,3.609
bubblesort_ll2,0.016784668,0.017883301,3.667
bubblesort_ll2,0.023498535,0.018310547,3.625
bubblesort_ll2,0.017333984,0.018005371,3.648
bubblesort_ll,0.019104004,0.014099121,2.818
bubblesort_ll,0.013793945,0.013916016,2.456
bubblesort_ll,0.020629883,0.013244629,2.427
bubblesort_ll,0.01348877,0.01385498,2.397
bubblesort_ll,0.014221191,0.014221191,2.419
bubblesort_ll,0.019226074,0.014038086,2.423
bubblesort_ll,0.012878418,0.012695313,2.363
bubblesort_ll,0.012939453,0.01385498,2.443
bubblesort_ll,0.019897461,0.014099121,2.337
bubblesort_ll,0.014587402,0.014892578,2.423
bubblesort_ll,0.020690918,0.013122559,2.368
bubblesort_ll,0.012573242,0.015136719,2.46
bubblesort_ll,0.020446777,0.013549805,2.391
bubblesort_ll,0.013366699,0.013793945,2.382
bubblesort_ll,0.014648438,0.015014648,2.405
bubblesort_ll,0.019897461,0.01348877,2.456
bubblesort_ll,0.013549805,0.014343262,2.421
bubblesort_ll,0.019836426,0.013366699,2.474
bubblesort_ll,0.012939453,0.014343262,2.384
bubblesort_ll,0.014526367,0.014343262,2.415
bubblesort_ll,0.020202637,0.014160156,2.389
bubblesort_ll,0.01385498,0.013427734,2.341
bubblesort_ll,0.020812988,0.014648438,2.454
bubblesort_ll,0.013061523,0.014587402,2.415
bubblesort_ll,0.014343262,0.014892578,2.446
bubblesort_ll,0.012695313,0.013366699,2.416
