Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Python38, async_tree_cpu_io_mixed, -1,1598.217773437500000000, 1422.423156738281250000,  ,  , 86424, 63.2, 103072
Python38, async_tree_cpu_io_mixed, -1,1602.945434570312500000, 1428.470214843750000000,  ,  , 86292, 63.8, 103212
Python310, async_tree_cpu_io_mixed, -1,1538.411621093750000000, 1370.512329101562500000,  ,  , 82864, 67.0, 105264
Python310, async_tree_cpu_io_mixed, -1,1540.209228515625000000, 1369.972656250000000000,  ,  , 83598, 67.2, 105640
Python310, async_tree_cpu_io_mixed, -1,1533.271728515625000000, 1363.510986328125000000,  ,  , 83292, 62.5, 105252
Python310, async_tree_cpu_io_mixed, -1,1570.906188964843750000, 1400.260803222656250000,  ,  , 83434, 72.8, 105776
Python310, async_tree_cpu_io_mixed, -1,1534.330139160156250000, 1364.127136230468750000,  ,  , 83493, 61.8, 105256
Python310, async_tree_cpu_io_mixed, -1,1536.405578613281250000, 1366.869140625000000000,  ,  , 83097, 63.5, 105388
Python310, async_tree_cpu_io_mixed, -1,1540.720642089843750000, 1370.704040527343750000,  ,  , 83241, 61.8, 105792
Python310, async_tree_cpu_io_mixed, -1,1538.337951660156250000, 1368.431152343750000000,  ,  , 83409, 61.8, 105232
Python310, async_tree_cpu_io_mixed, -1,1532.773193359375000000, 1362.781677246093750000,  ,  , 83169, 61.5, 105568
Python310, async_tree_cpu_io_mixed, -1,1534.354370117187500000, 1364.631835937500000000,  ,  , 83412, 66.8, 105276
Python311, async_tree_cpu_io_mixed, -1,1254.757080078125000000, 1116.955810546875000000,  ,  , 67453, 61.2, 92884
Python311, async_tree_cpu_io_mixed, -1,1254.871398925781250000, 1118.295532226562500000,  ,  , 67147, 62.0, 92856
Python311, async_tree_cpu_io_mixed, -1,1255.339172363281250000, 1117.436157226562500000,  ,  , 67458, 62.2, 92880
Python311, async_tree_cpu_io_mixed, -1,1256.253784179687500000, 1118.720092773437500000,  ,  , 67337, 61.8, 92772
Python311, async_tree_cpu_io_mixed, -1,1252.211730957031250000, 1114.488708496093750000,  ,  , 67544, 62.2, 92792
Python311, async_tree_cpu_io_mixed, -1,1254.210205078125000000, 1116.673522949218750000,  ,  , 67320, 62.0, 92832
Python311, async_tree_cpu_io_mixed, -1,1257.667785644531250000, 1121.829406738281250000,  ,  , 66990, 62.5, 92936
Python311, async_tree_cpu_io_mixed, -1,1254.716125488281250000, 1117.128356933593750000,  ,  , 67456, 63.2, 92796
Python311, async_tree_cpu_io_mixed, -1,1256.158264160156250000, 1118.934387207031250000,  ,  , 67374, 62.0, 92840
Python311, async_tree_cpu_io_mixed, -1,1256.493713378906250000, 1119.648559570312500000,  ,  , 67245, 63.0, 92740
Python311, async_tree_cpu_io_mixed_tg, -1,1209.130249023437500000, 1074.640502929687500000,  ,  , 65033, 63.2, 96964
Python311, async_tree_cpu_io_mixed_tg, -1,1208.758483886718750000, 1074.390686035156250000,  ,  , 65041, 66.8, 97064
